id,zip,city,state_id,state_name,density,county_name,,,
30201,91208,Glendale,CA,California,887.2,Los Angeles,,,
30202,91210,Glendale,CA,California,4640.1,Los Angeles,,,
30203,91214,La Crescenta,CA,California,1575.2,Los Angeles,,,
30204,91301,Agoura Hills,CA,California,298.4,Los Angeles,,,
30205,91302,Calabasas,CA,California,386.1,Los Angeles,,,
30206,91303,Canoga Park,CA,California,5637.2,Los Angeles,,,
30207,91304,Canoga Park,CA,California,2231.6,Los Angeles,America/Los_Angeles,,
30208,91306,Winnetka,CA,California,4634.9,Los Angeles,,,
30209,91307,West Hills,CA,California,1262,Los Angeles,America/Los_Angeles,,
30210,91311,Chatsworth,CA,California,491.5,Los Angeles,America/Los_Angeles,,
30211,91316,Encino,CA,California,2351.8,Los Angeles,,,
30212,91320,Newbury Park,CA,California,952,Ventura,,,
30213,91321,Newhall,CA,California,507.5,Los Angeles,,,
30214,91324,Northridge,CA,California,2609.8,Los Angeles,,,
30215,91325,Northridge,CA,California,2766.7,Los Angeles,,,
30216,91326,Porter Ranch,CA,California,1719.6,Los Angeles,,,
30217,91330,Northridge,CA,California,3732.8,Los Angeles,,,
30218,91331,Pacoima,CA,California,4599.4,Los Angeles,,,
30219,91335,Reseda,CA,California,4812.6,Los Angeles,,,
30220,91340,San Fernando,CA,California,4128.7,Los Angeles,,,
30221,91342,Sylmar,CA,California,660.4,Los Angeles,,,
30222,91343,North Hills,CA,California,4359.4,Los Angeles,,,
30223,91344,Granada Hills,CA,California,1261.4,Los Angeles,,,
30224,91345,Mission Hills,CA,California,2280.8,Los Angeles,,,
30225,91350,Santa Clarita,CA,California,823.8,Los Angeles,,,
30226,91351,Canyon Country,CA,California,1319.6,Los Angeles,,,
30227,91352,Sun Valley,CA,California,1552.1,Los Angeles,,,
30228,91354,Valencia,CA,California,1440.1,Los Angeles,,,
30229,91355,Valencia,CA,California,760.6,Los Angeles,,,
30230,91356,Tarzana,CA,California,1569.9,Los Angeles,,,
30231,91360,Thousand Oaks,CA,California,1151.7,Ventura,,,
30232,91361,Westlake Village,CA,California,233.4,Ventura,America/Los_Angeles,,
30233,91362,Thousand Oaks,CA,California,720,Ventura,America/Los_Angeles,,
30234,91364,Woodland Hills,CA,California,1422.3,Los Angeles,,,
30235,91367,Woodland Hills,CA,California,2388.6,Los Angeles,,,
30236,91371,Woodland Hills,CA,California,0,Los Angeles,,,
30237,91377,Oak Park,CA,California,1010.6,Ventura,,,
30238,91381,Stevenson Ranch,CA,California,199,Los Angeles,,,
30239,91384,Castaic,CA,California,103.9,Los Angeles,,,
30240,91387,Canyon Country,CA,California,327.7,Los Angeles,,,
30241,91390,Santa Clarita,CA,California,51.7,Los Angeles,,,
30242,91401,Van Nuys,CA,California,4445.1,Los Angeles,,,
30243,91402,Panorama City,CA,California,7465.1,Los Angeles,,,
30244,91403,Sherman Oaks,CA,California,2675,Los Angeles,,,
30245,91405,Van Nuys,CA,California,6476.8,Los Angeles,,,
30246,91406,Van Nuys,CA,California,2606.2,Los Angeles,,,
30247,91411,Van Nuys,CA,California,4936.1,Los Angeles,,,
30248,91423,Sherman Oaks,CA,California,2935.5,Los Angeles,,,
30249,91436,Encino,CA,California,1036.8,Los Angeles,,,
30250,91501,Burbank,CA,California,1996.1,Los Angeles,,,
30251,91502,Burbank,CA,California,3080,Los Angeles,,,
30252,91504,Burbank,CA,California,2092.5,Los Angeles,,,
30253,91505,Burbank,CA,California,2367.2,Los Angeles,,,
30254,91506,Burbank,CA,California,2932.3,Los Angeles,,,
30255,91601,North Hollywood,CA,California,5367,Los Angeles,,,
30256,91602,North Hollywood,CA,California,3708.1,Los Angeles,,,
30257,91604,Studio City,CA,California,2467,Los Angeles,,,
30258,91605,North Hollywood,CA,California,3753,Los Angeles,,,
30259,91606,North Hollywood,CA,California,5132,Los Angeles,,,
30260,91607,Valley Village,CA,California,4844.8,Los Angeles,,,
30261,91608,Universal City,CA,California,13.6,Los Angeles,,,
30262,91701,Rancho Cucamonga,CA,California,2090.8,San Bernardino,,,
